model_label,sample_index,model_name,generated_summary_zh,reference_summary_zh,reference_summary_en,dialogue
aya_expanse,0,aya-expanse:8b,"麦克斯问派顿是否知道哪里可以买到好衣服。派顿列出了几个网站，但表示通常会从两个或三个网站购买，因为每个网站都有不同的商品。麦克斯表示会查看这些网站。

派顿坦言对购物既喜欢又不喜欢。她喜欢浏览、试穿和看镜子，但并不总是买。麦克斯好奇为什么，派顿开玩笑说如果她买了所有喜欢的东西，就没什么可生活了。

派顿通常会购买衣服和书籍。她热爱阅读，喜欢读各种各样的书。",佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)"
aya_expanse,1,aya-expanse:8b,奥利、凯利、米奇和杰西卡在聊天，分享他们认为最可怕或最令人印象深刻的地方。凯利提到芬兰的一个雕塑花园，那里有大量看起来有些诡异的雕塑人像。奥利则介绍了日本纳戈尔村，描述它与凯利的经历相似，但更加令人不安，因为村庄里的人比雕塑还多。讨论中充满了幽默和惊恐的元素，最终米奇表示要结束聊天，大家互道再见。,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ","Ollie: Okay, Kelly! Ur up nxt!
Kelly: Me? I don't wanna.
Mickey: C'mon!
Jessica: Yeah! What's yours?
Kelly: Fine. It's a sculpture garden in Finnland.
Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
Mickey: Nah, I'm sure they look rly nice.
Kelly: It's not the sculptures, it's the amount of them and their faces!
Jessica: Faces? What faces?
Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
Ollie: Another one?
Mickey: Certainly!
Jessica: Well, Ollie, ur turn!
Ollie: Nagoro village in Japan!
Mickey: Y?
Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
Jessica: Bt y?
Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
Kelly: Creepy AH!
Mickey: WTF?! Y would ppl even do that?
Jessica: Idk. Idc. Never. Going. There.
Ollie: See! Mine was the worst!
Jessica: Bt not the scariest!
Ollie: Point taken.
Mickey: Listen, guys, fun talking to u, bt gotta go. 
Kelly: Yeah, me too. Bye!
Jessica: Bye!
Ollie: Cu!"
aya_expanse,2,aya-expanse:8b,埃里克问贝拉今天老板房间里发生了什么，老板是否生气。贝拉回答说老板并没有生气，反而对他们拒绝客户请求的决定表示赞赏。埃里克惊讶地发现原来如此。贝拉解释说，老板希望吸引竞争对手的潜在客户。埃里克祝贺贝拉得到老板的认可。,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,"Eric: Hey Bella, What happened today in boss's room?? Was he angry??
Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
Eric: REALLY!! He appreciated this decision..
Bella: Yeah he really did.. I too was astounded by his reaction...
Eric: What could possibly lead to this?? I mean , they were potential clients...
Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo	
Bella: hahaha Blessing in disguise xD"
aya_expanse,3,aya-expanse:8b,"玛丽：嘿，我有点缺钱，能借我几百元吗？
卡特：好的，给我一个小时，我在火车站。
玛丽：行，谢谢！",玛丽的钱用完了，卡特打算一小时后借给她一点。,Mary ran out of money. Carter is going to lend her some in an hour.,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks"
aya_expanse,4,aya-expanse:8b,杰克提议后来喝鸡尾酒，梅激动地回应“是！”她表示自己确实很紧张。杰克猜测了，梅叹了口气，承认确实有点紧张。她认为喝点酒会好一些，杰克建议可能要两杯。,杰克和梅一会儿要喝鸡尾酒。,Jack and May will drink cocktails later.,"Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!"
aya_expanse,5,aya-expanse:8b,约瑟夫发了一张模糊的照片，上面是两头小牛。艾拉看了之后兴奋地猜测是小牛，并表达了想要触摸它们的愿望。约瑟夫确认照片中的牛是他的表兄扬的牛，并纠正了艾拉的“双胞胎”为“一对”。艾拉对拥有两头牛感到高兴，并表达了对它们的好奇心。,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,"Joseph: It's fuzzy but I think you can recognize what's that(^_-)-☆
Joseph: <file_photo>
Ella: Ooooo
Ella: Baby cows??(/◕ヮ◕)/(/◕ヮ◕)/(/◕ヮ◕)/
Joseph: Wujek Janek has tween cows:D
Ella: Twins* darling xD
Joseph: Oh yeah, sorry Twins*
Ella: Good for him!! So cool❤️❤️
Ella: Wanna touch them❤️❤️❤️"
aya_expanse,6,aya-expanse:8b,阿黛尔告诉洛拉她养了一只新的狗，是一只4个月大的小黄狗，名叫骨头（Bones）。其他宠物对新成员反应平静，猫保持距离，而波皮和露露似乎像母亲一样照顾它。斯皮迪想和他一起玩耍。阿黛尔提到幼犬通常比成年狗更容易被其他动物接受。洛拉开玩笑说女狗喜欢打架，但阿黛尔也同意这一点。他们决定给新狗取名骨头，因为它很胖。洛拉期待着见到这只可爱的狗。,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.","Lola: hey girlfriend, what's up?
Adele: Oh, hi Lols, not much.
Adele: got a new dog.
Lola: another one?
Adele: Yup. a pup biscuit lab. 4 months. Chewy.
Lola: how did the others react?
Adele: the cats keep their distance, Poppy and Lulu seem to mother him. Speedy wants to play.
Lola: no fighting? that's new.
Adele: they say puppies are accepted by other animals more easily than older dogs
Lola: especially girl dogs, probably
Adele: with the other ones I had to wean them because I took them in as adult dogs. And girls like to fight. like crazy.
Lola: doggies, right/.
Adele: that too :P
Lola: haha. true though.
Adele: I know, right. Anyway, called him Bones. He's so plump it kinda fit.
Lola: cute. can't wait to see him."
aya_expanse,7,aya-expanse:8b,劳拉问明天去哪里，林达建议意大利餐厅。劳拉同意了。林达说她喜欢那里的面条和布朗尼，尽管她平时不吃甜食。,琳达和劳拉明天要去一家意大利餐馆。,Linda and Laura are going to an Italian restaurant tomorrow.,"Laura: where will we go tommorow?
Linda: maybe this italian restaurant?
Laura: hmm ok
Linda: i love their pasta
Linda: and brownie :)
Laura: i thouht you dont eat sweets
Linda: this brownie is not so sweet"
aya_expanse,8,aya-expanse:8b,"米亚：亲爱的，我今晚下班后可以出去吗？
埃利奥特：当然可以，去吧！😊
米亚：谢谢你，亲爱的。我们要度过一个女孩子们的外出夜晚。
埃利奥特：你们在做什么呢？
米亚：好吧，我们会去喝点饮料，享受一下工作之外的时光。
埃利奥特：请不要太晚回家，如果需要我来接你，就给我打电话。",米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,"Mia is going out after work tonight with her female friends. If she wants, Elliot will come and pick her up.","Mia: babe, do you mind if i go out after work tonight?
Elliot: yeah, sure. go for it ;) 
Mia: thanks, babe. it's gonna be girls night out 
Elliot: what're u up to?
Mia: well, you know we gonna grab some drinks have some nice time outside of work
Elliot: don't be too late please and if you need me to pick u up just give me a ring "
aya_expanse,9,aya-expanse:8b,"瑞安：我感觉不对劲，看了这个文件（<file_other>）。
塞巴斯蒂安：乌克兰... 这个俄罗斯的闹剧永远不会结束...
瑞安：希望各国领导人能对这种情况做出反应。
塞巴斯蒂安：我也希望如此...",瑞安和塞巴斯蒂安担心乌克兰的政治局势。,Ryan and Sebastian are worried about the political situation in Ukraine.,"Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :("
aya_expanse,10,aya-expanse:8b,芬恩提议明天去象与城堡（Elephant and Castle）这个社区，那里充满了拉丁美洲风情的小店和餐厅。扎迪对这个计划很感兴趣，因为她很久没有吃过拉丁美洲美食了。他们计划在下午两点在购物中心的主入口见面，探索这个即将被拆迁的社区。扎迪表示会及时联系芬恩，如果迷路了。,费恩和查蒂明天2点去象堡，他们会在正门碰头。,Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,"Finn: Hey
Zadie: Hi there! What's up?
Finn: All fine. You? 
Zadie: Not bad, thanks 
Finn: Look, I was thinking of going to this neighborhood called Elephant and Castle tomorrow, it's apparently full of Latin American stuff. Fancy joining? 
Zadie: Sure! But what's ""stuff""? 😂
Finn: lol So apparently it's a place were random people from ""Latin America"" (meaning fuck knows which countries) started running small businesses and restaurant, and a nice little community was formed
Zadie: Oh cool 
Finn: Then capitalism came and it's all going to be demolished soon, so it's like the last chance to go
Zadie: What a shame :( Yeah, I haven't had Latin American 😂 food for ages so I'm totally up for it
Finn: Can't wait to taste this cuisine of unspecified Latino origin lol
Zadie: 😂😂😂
Finn: But we can specify time and place if and only if you wish 
Zadie: I might be tempted to lol I'd say early evening, 2-ish?
Finn: Yeah, that's fine by me. So most of the places we want to visit are in this Elephant and Castle shopping centre. Shall I see you at the main entrance, wherever that is 
Zadie: 2 o'clock at unspecified main entrance then? Sounds good to mw
Finn: Yer
Zadie: Cool, see you there! And thanks so much for remembering about me 💜💜💜
Finn: Thanks for saying yes to such an ill-defined plan lmao 
Zadie: Ha ha You know I love those
Finn: See you tomorrow then 
Zadie: Yep Call me if you get lost
Finn: I will I will 🤙 byeeee 
Zadie: Toodles"
aya_expanse,11,aya-expanse:8b,汤姆告诉本：2点在椭圆房间见，带上所有文件，这将是一场战斗！记住，无情地战斗，不留活口。本笑着回应，他们一定能赢，正义在他们这一边。,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,Tom will meet Ben in the Oval Room at 2pm and tells him to bring the papers. ,"Tom: Ben. We've decided. 2pm in the Oval Room.
Ben: Ok, I'll be there
Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
Ben: hahaha, we have to win this battle.
Tom: We will, the justice is on our side."
aya_expanse,12,aya-expanse:8b,埃利奥特现在很忙，无法接听电话，提议两小时后再打电话。乔丹正在去参加同事布拉德的葬礼，晚上八点会打电话给埃利奥特。埃利奥特表示了慰问，并承诺在晚上八点打电话。布拉德因肝癌去世，乔丹之前已经提到过这个情况。,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,"Elliot can't talk to Jordan now, he's busy. He'll call him back at 8 pm. Jordan is going to Brad's funeral. He had liver cancer.","Elliot: i can't talk rn, i'm rly busy
Elliot: can i call u back in about 2 hours?
Jordan: Not really, I'm going to a funeral.
Jordan: I'll call you tonight, ok?
Elliot: sure
Elliot: whose funeral is it?
Jordan: My colleague's, Brad.
Jordan: I told you about him, he had a liver cancer.
Elliot: i'm so sorry man, i hope u're ok
Elliot: i'll call u at 8 pm"
aya_expanse,13,aya-expanse:8b,"Flo：天啊，我要到第六天才能去美发沙龙！
Gina：什么？为什么？
Flo：他们太忙了。我快要变灰白头发了！哈哈！
Gina：那你去超市买个染发套装吧！
Flo：没办法了！",弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,Flo cannot get an appointment at the salon until the 6th. Flo worries she's going to be gray. Flo will have to get a touch-up kit at Tesco.,"Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!"
aya_expanse,14,aya-expanse:8b,杰克西认为大卫昨天说得对，关于承担责任等问题。大卫回应他记得了，约定稍后再谈，杰克西下班后会打电话给大卫。,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,"According to Jacky, David did the right thing taking the blame. They will talk when Jack comes back home.","Jacky: I think you were right yesterday. 
David: What about? I'm right about most things :P
Jacky: Yeah, whole you ;)
Jacky: About taking the blame etc. 
David: Okey, I remeber. We'll talk later?
Jacky: With pleasure. I'll call you when I get home."
aya_expanse,15,aya-expanse:8b,皮特问阿德尔是否清洁了仓鼠笼。阿德尔回答没有，并询问是不是轮到她了。皮特说是在学校后，没有借口。阿德尔无奈地同意了。,阿黛尔放学后得打扫仓鼠笼。,Adelle has to clean the hamster cage after school.,"Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine."
aya_expanse,16,aya-expanse:8b,兰道夫问玛雅还在药店吗，并请求她买4到5包耳塞。玛雅回答会买5包。兰道夫感谢她。,玛雅会在药房为伦道夫买5包耳塞。,Maya will buy 5 packs of earplugs for Randolph at the pharmacy.,"Randolph: Honey
Randolph: Are you still in the pharmacy?
Maya: Yes
Randolph: Buy me some earplugs please
Maya: How many pairs?
Randolph: 4 or 5 packs
Maya: I'll get you 5
Randolph: Thanks darling"
aya_expanse,17,aya-expanse:8b,法蒂玛告诉林肯，她和杰森谈过，杰森对某个地方不太满意。林肯认为那地方没什么问题，但关心的是阿莱恩的情况。法蒂玛认为阿莱恩可能患有抑郁症，但她拒绝就医。林肯认为这不是法蒂玛的责任，并建议她为可能的分手做好准备。法蒂玛觉得阿莱恩只是有点困扰，因为她经历了很多。林肯直言不讳地说每个人都有问题，关键是自己是否在解决它们。法蒂玛感到伤心，但意识到自己的成长环境比阿莱恩好得多，决定感激当下。林肯鼓励她不要过多担忧他人，并赞美她的美丽。,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,"Lincoln: Heeyyy ;* whats up
Fatima: I talked to Jenson, he’s not too happy ;p
Lincoln: the place sucks??
Fatima: No, the place is ok, I think, we can go there, it’s about Alene
Lincoln: typical, dont worry about it
Fatima: He thinks she may have a depression :[
Lincoln: nothin new, everyone has it, she needs a doctor then
Fatima: But she won’t go ;/
Lincoln: so she’s destroying her life fuck it its not your problem
Fatima: It is, they’re both my friends!
Lincoln: you better think what to do if they break up
Fatima: Ehh yes Ill have a problem ;//
Lincoln: both blaming each other and talking with you about it, perfect
Fatima: Alene is just troubled… She’d been through a lot…
Lincoln: everyone has their problems, the question is are ya doin sth about them
Fatima: She has problems facing it, don’t be surprised :[
Lincoln: then it is her problem
Fatima: You are so cruel at times… o.O
Lincoln: maybe, for me its just a common sense
Fatima: Why can’t everyone be just happy???
Lincoln: youll not understand, you had good childhood, nice parents, you have no idea
Fatima: Probably, true… Well I can be just grateful o.o
Lincoln: do that and stop worrying about others, youre way to bautful for that <3
Fatima: :*:*:*"
aya_expanse,18,aya-expanse:8b,杰夫和利亚因为刚从徒步旅行回来，都感到很累，所以没有兴趣去村庄派对。米科则表示想去，因为可能有帅气的男孩。吉姆开玩笑说，村里的男孩可能不讲英语，更愚蠢。米科同意了。利亚仍然不感兴趣，而杰夫虽然不热情，但也同意一起去。米科问谁要一起开车，以便他可以喝酒，杰夫表示无所谓。,米科和杰夫要去参加村里的聚会，杰夫开车。,Mico and Jeff will go to the village party. Jeff will drive.,"Jeff: Should we go to the village party?
Lia: I'm too tired after hiking
Mico: I'd like to go, there may be some hot boys!
Lia: I doubt
Jim: like a real village boy?
Jim: who doesn't even speak English?
Mico: yes, the dummer, the better
Jim: haha, stupid fucks good, they say
Mico: I confirm!
Lia: not my cup of tea
Mico: I'll go there, who wants to join?
Jeff: I'll go as well
Mico: wanna drive?
Jeff: so you could drink?
Mico: would be nice, hahah
Jeff: not excited, but ok
Mico: thanks!"
aya_expanse,19,aya-expanse:8b,哈利急切地要求辛迪给埃拉打电话，说有紧急事情要讨论。辛迪抱怨说，他们总是让她充当传话筒，但这次之后不会再这样做了。她已经完成任务，哈利现在可以给埃拉打电话了。,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,"Harry: heyyyy are you there??
Cindy: Yes dear what is it?
Harry: Can you call Ela and tell her i need to talk urgent please pick my call.
Cindy: what happened now? an other fight :O
Harry: please tell her
Cindy: MAN! you guys... am i some kind of a messenger service here?
Harry: PLEASEEEEEEEEE ?
Cindy: ok doing.... but thats the last time.
Harry: Yes like always:P
Cindy: Hate you seriously man.
Harry: Thank you
Cindy: Done you can call her now."
aya_expanse,20,aya-expanse:8b,肯对格雷格说：“你这个卖淫的，给我退钱。” 格雷格怀疑是账号被黑客攻击，但肯解释说他是开玩笑。格雷格也回击了同样的侮辱。,肯恩正试图捉弄格雷格。,Ken is trying to play a prank on Greg.,"Ken: Fuck you, you pimp
Greg: What?
Ken: Fuck you man, I want my money back
Greg: Was your account hacked by some prankster?
Ken: No, I'm the prankster, just having a laugh at your expense
Greg: Well, fuck you too then XD"
aya_expanse,21,aya-expanse:8b,"阿德里安：你能接电话吗？
西蒙：不方便，有什么重要的事吗？
阿德里安：不是很重要。
西蒙：我五点左右可以空出时间。
阿德里安：那我等你。",西蒙五分钟后会和阿德里安谈一谈。,Simon will talk to Adrian in 5 minutes.,"Adrian: Can you talk?
Simon: Not really, anything important?
Adrian: Not that much.
Simon: I'll be free at 5
Adrian: i'll you then"
aya_expanse,22,aya-expanse:8b,加布表示现在可以随意发消息，并询问何时能见面喝酒。凯特很忙，不确定何时有空。加布希望在现实中见到她，但凯特拒绝了，称自己不是这样的人。加布试图解释他们的交流方式不同，但凯特认为这是个错误。加布确认凯特是否离线，但凯特没有回应。,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,"Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?"
