model,raw_model_name,sample_index,generated_summary_zh,reference_summary_zh,generated_tokens,gold_tokens,token_diff,token_ratio,source_file,source_group
Aya-Expanse,aya-expanse:8b,0,"麦克斯问派顿是否知道哪里可以买到好衣服。派顿列出了几个网站，但表示通常会从两个或三个网站购买，因为每个网站都有不同的商品。麦克斯表示会查看这些网站。

派顿坦言对购物既喜欢又不喜欢。她喜欢浏览、试穿和看镜子，但并不总是买。麦克斯好奇为什么，派顿开玩笑说如果她买了所有喜欢的东西，就没什么可生活了。

派顿通常会购买衣服和书籍。她热爱阅读，喜欢读各种各样的书。",佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,160,47,113,3.404255319148936,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,0,两人讨论了购买衣服的网站，并分享了各自的购物习惯。Max询问Payton是否喜欢购物，Payton表示喜欢逛街和试穿，但不一定每次都买东西；她透露自己最容易抗拒的两样东西是衣服和书。,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,73,47,26,1.553191489361702,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,0,Max 询问购买衣物的网站，Payton 推荐了多个并解释自己通常只从其中两三个选购。随后两人讨论购物习惯：Payton 喜欢浏览和试穿但未必每次都买，因为若买下所有喜欢的东西就没钱生活了；他也坦言难以抗拒衣物和书籍这两样爱好，尤其热爱阅读各类图书。,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,103,47,56,2.1914893617021276,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,1,奥利、凯利、米奇和杰西卡在聊天，分享他们认为最可怕或最令人印象深刻的地方。凯利提到芬兰的一个雕塑花园，那里有大量看起来有些诡异的雕塑人像。奥利则介绍了日本纳戈尔村，描述它与凯利的经历相似，但更加令人不安，因为村庄里的人比雕塑还多。讨论中充满了幽默和惊恐的元素，最终米奇表示要结束聊天，大家互道再见。,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,136,50,86,2.72,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,1,大家分享了各自推荐的“恐怖”景点。凯莉介绍了芬兰的一个雕塑花园，虽然不是雕塑本身可怕，但因为数量多且雕像的面部表情（如拥抱、运动等）让人感到诡异，而且到处都是盯着人的脸。奥利则推荐了日本名古屋村，描述了一个与真人大小的雕像数量超过实际居民数量的村庄，气氛非常阴森恐怖。大家对这些地方都表示了惊悚感。最后，大家互相道别。,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,143,50,93,2.86,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,1,奥利、凯莉、米奇和杰西卡讨论各自认为可怕的地方：凯莉提到芬兰的一座雕塑园，那里有上百张表情阴郁的雕像脸；奥利则描述日本的一个村庄，里面的人形雕像数量甚至超过实际居民。大家觉得这些场景都很诡异，最后米奇因有事先行离开，其他人也道别了。,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,106,50,56,2.12,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,2,埃里克问贝拉今天老板房间里发生了什么，老板是否生气。贝拉回答说老板并没有生气，反而对他们拒绝客户请求的决定表示赞赏。埃里克惊讶地发现原来如此。贝拉解释说，老板希望吸引竞争对手的潜在客户。埃里克祝贺贝拉得到老板的认可。,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,100,36,64,2.7777777777777777,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,2,艾里克询问了老板办公室发生的事情，贝拉澄清老板并没有生气，反而赞赏他们果断拒绝客户请求的决定。两人对老板的反应感到惊讶，艾里克猜测这可能是因为老板原本想引入竞争对手的新客户，而这个结果反而成了好事。,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,93,36,57,2.5833333333333335,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,2,老板并未因拒绝客户请求而生气，反而赞赏了我们的勇敢决定。原来他期待引入新客户（即当前客户的竞争对手），这一举动实为“塞翁失马”。,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,56,36,20,1.5555555555555556,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,3,"玛丽：嘿，我有点缺钱，能借我几百元吗？
卡特：好的，给我一个小时，我在火车站。
玛丽：行，谢谢！",玛丽的钱用完了，卡特打算一小时后借给她一点。,35,20,15,1.75,direct_all_models_100samples_seed42_results.json,direct
