model_name,sample_index,error_label,human_error_label,Review_Notes,reference,prediction,dialogue,rouge1,rouge2,rougeL,bs_f1_raw,informativeness,clarity,plausibility,faithfulness,Length Ratio
aya-expanse:8b,0,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,"麦克斯问派顿是否知道哪里可以买到好衣服。派顿列出了几个网站，但表示通常会从两个或三个网站购买，因为每个网站都有不同的商品。麦克斯表示会查看这些网站。
 

 派顿坦言对购物既喜欢又不喜欢。她喜欢浏览、试穿和看镜子，但并不总是买。麦克斯好奇为什么，派顿开玩笑说如果她买了所有喜欢的东西，就没什么可生活了。
 

 派顿通常会购买衣服和书籍。她热爱阅读，喜欢读各种各样的书。","Max: Know any good sites to buy clothes from?
 Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
 Max: That's a lot of them!
 Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
 Max: I'll check them out. Thanks. 
 Payton: No problem :)
 Max: How about u?
 Payton: What about me?
 Max: Do u like shopping?
 Payton: Yes and no.
 Max: How come?
 Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
 Max: Y not?
 Payton: Isn't it obvious? ;)
 Max: Sry ;)
 Payton: If I bought everything I liked, I'd have nothing left to live on ;)
 Max: Same here, but probably different category ;)
 Payton: Lol
 Max: So what do u usually buy?
 Payton: Well, I have 2 things I must struggle to resist!
 Max: Which are?
 Payton: Clothes, ofc ;)
 Max: Right. And the second one?
 Payton: Books. I absolutely love reading!
 Max: Gr8! What books do u read?
 Payton: Everything I can get my hands on :)
 Max: Srsly?
 Payton: Yup :)",34.72,12.68,26.39,72.35,3.120808363,3.776155710,3.844904661,2.919892311,3.301887
aya-expanse:8b,1,H-CIRC,H-CIRC,"It reverses the quantity relation, saying there are more residents than figures.",凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,奥利、凯利、米奇和杰西卡在聊天，分享他们认为最可怕或最令人印象深刻的地方。凯利提到芬兰的一个雕塑花园，那里有大量看起来有些诡异的雕塑人像。奥利则介绍了日本纳戈尔村，描述它与凯利的经历相似，但更加令人不安，因为村庄里的人比雕塑还多。讨论中充满了幽默和惊恐的元素，最终米奇表示要结束聊天，大家互道再见。,"Ollie: Okay, Kelly! Ur up nxt!
 Kelly: Me? I don't wanna.
 Mickey: C'mon!
 Jessica: Yeah! What's yours?
 Kelly: Fine. It's a sculpture garden in Finnland.
 Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
 Mickey: Nah, I'm sure they look rly nice.
 Kelly: It's not the sculptures, it's the amount of them and their faces!
 Jessica: Faces? What faces?
 Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
 Ollie: Another one?
 Mickey: Certainly!
 Jessica: Well, Ollie, ur turn!
 Ollie: Nagoro village in Japan!
 Mickey: Y?
 Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
 Jessica: Bt y?
 Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
 Kelly: Creepy AH!
 Mickey: WTF?! Y would ppl even do that?
 Jessica: Idk. Idc. Never. Going. There.
 Ollie: See! Mine was the worst!
 Jessica: Bt not the scariest!
 Ollie: Point taken.
 Mickey: Listen, guys, fun talking to u, bt gotta go. 
 Kelly: Yeah, me too. Bye!
 Jessica: Bye!
 Ollie: Cu!",24,3.25,16,66.78,3.343914270,3.841214895,3.990529299,3.391250134,2.709091
aya-expanse:8b,2,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,埃里克问贝拉今天老板房间里发生了什么，老板是否生气。贝拉回答说老板并没有生气，反而对他们拒绝客户请求的决定表示赞赏。埃里克惊讶地发现原来如此。贝拉解释说，老板希望吸引竞争对手的潜在客户。埃里克祝贺贝拉得到老板的认可。,"Eric: Hey Bella, What happened today in boss's room?? Was he angry??
 Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
 Eric: REALLY!! He appreciated this decision..
 Bella: Yeah he really did.. I too was astounded by his reaction...
 Eric: What could possibly lead to this?? I mean , they were potential clients...
 Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
 Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo 
 Bella: hahaha Blessing in disguise xD",36.59,0,21.95,70.33,2.793783188,3.780327082,3.698616743,2.799403667,2.769231
aya-expanse:8b,3,H-CIRC|LANG,H-CIRC|LANG,It invents a specific amount of several hundred yuan and uses dialogue format instead of a summary.,玛丽的钱用完了，卡特打算一小时后借给她一点。,"玛丽：嘿，我有点缺钱，能借我几百元吗？
 卡特：好的，给我一个小时，我在火车站。
 玛丽：行，谢谢！","Mary: hey, im kinda broke, lend me a few box
 Carter: okay, give me an hour, im at the train station
 Mary: cool, thanks",20.83,4.35,16.67,68.02,4.053118229,4.851737976,4.813985348,3.750222683,2.090909
aya-expanse:8b,4,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,杰克和梅一会儿要喝鸡尾酒。,杰克提议后来喝鸡尾酒，梅激动地回应“是！”她表示自己确实很紧张。杰克猜测了，梅叹了口气，承认确实有点紧张。她认为喝点酒会好一些，杰克建议可能要两杯。,"Jack: Cocktails later?
 May: YES!!!
 May: You read my mind...
 Jack: Possibly a little tightly strung today?
 May: Sigh... without question.
 Jack: Thought so.
 May: A little drink will help!
 Jack: Maybe two!",19.23,4,11.54,64.97,3.440670967,3.597595215,3.739751339,2.979431629,5.692308
aya-expanse:8b,5,H-ENT|H-ROLE,H-ENT|H-ROLE,It changes Wujek Janek into a cousin and reverses who corrected the word 'twins.',约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,约瑟夫发了一张模糊的照片，上面是两头小牛。艾拉看了之后兴奋地猜测是小牛，并表达了想要触摸它们的愿望。约瑟夫确认照片中的牛是他的表兄扬的牛，并纠正了艾拉的“双胞胎”为“一对”。艾拉对拥有两头牛感到高兴，并表达了对它们的好奇心。,"Joseph: It's fuzzy but I think you can recognize what's that(^_-)-☆
 Joseph: <file_photo>
 Ella: Ooooo
 Ella: Baby cows??(/◕ヮ◕)/(/◕ヮ◕)/(/◕ヮ◕)/
 Joseph: Wujek Janek has tween cows:D
 Ella: Twins* darling xD
 Joseph: Oh yeah, sorry Twins*
 Ella: Good for him!! So cool❤️❤️
 Ella: Wanna touch them❤️❤️❤️",22.47,9.2,17.98,69.87,4.527405739,4.639766693,4.736995220,3.891546011,3.393939
aya-expanse:8b,6,H-ROLE,H-ROLE,It wrongly attributes the comment about female dogs fighting to Lola.,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,阿黛尔告诉洛拉她养了一只新的狗，是一只4个月大的小黄狗，名叫骨头（Bones）。其他宠物对新成员反应平静，猫保持距离，而波皮和露露似乎像母亲一样照顾它。斯皮迪想和他一起玩耍。阿黛尔提到幼犬通常比成年狗更容易被其他动物接受。洛拉开玩笑说女狗喜欢打架，但阿黛尔也同意这一点。他们决定给新狗取名骨头，因为它很胖。洛拉期待着见到这只可爱的狗。,"Lola: hey girlfriend, what's up?
 Adele: Oh, hi Lols, not much.
 Adele: got a new dog.
 Lola: another one?
 Adele: Yup. a pup biscuit lab. 4 months. Chewy.
 Lola: how did the others react?
 Adele: the cats keep their distance, Poppy and Lulu seem to mother him. Speedy wants to play.
 Lola: no fighting? that's new.
 Adele: they say puppies are accepted by other animals more easily than older dogs
 Lola: especially girl dogs, probably
 Adele: with the other ones I had to wean them because I took them in as adult dogs. And girls like to fight. like crazy.
 Lola: doggies, right/.
 Adele: that too :P
 Lola: haha. true though.
 Adele: I know, right. Anyway, called him Bones. He's so plump it kinda fit.
 Lola: cute. can't wait to see him.",36.84,16,28.95,73.42,3.904462099,3.931642532,3.988613367,3.196191072,2.287671
aya-expanse:8b,7,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,琳达和劳拉明天要去一家意大利餐馆。,劳拉问明天去哪里，林达建议意大利餐厅。劳拉同意了。林达说她喜欢那里的面条和布朗尼，尽管她平时不吃甜食。,"Laura: where will we go tommorow?
 Linda: maybe this italian restaurant?
 Laura: hmm ok
 Linda: i love their pasta
 Linda: and brownie :)
 Laura: i thouht you dont eat sweets
 Linda: this brownie is not so sweet",25.64,0,15.38,71.65,2.244043589,3.574937344,3.392457724,2.373681068,3.000000
aya-expanse:8b,8,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,"米亚：亲爱的，我今晚下班后可以出去吗？
 埃利奥特：当然可以，去吧！😊
 米亚：谢谢你，亲爱的。我们要度过一个女孩子们的外出夜晚。
 埃利奥特：你们在做什么呢？
 米亚：好吧，我们会去喝点饮料，享受一下工作之外的时光。
 埃利奥特：请不要太晚回家，如果需要我来接你，就给我打电话。","Mia: babe, do you mind if i go out after work tonight?
 Elliot: yeah, sure. go for it ;) 
 Mia: thanks, babe. it's gonna be girls night out 
 Elliot: what're u up to?
 Mia: well, you know we gonna grab some drinks have some nice time outside of work
 Elliot: don't be too late please and if you need me to pick u up just give me a ring",15.69,4,11.76,65.31,3.520889521,4.636316776,4.729400635,4.257058620,3.823529
aya-expanse:8b,9,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,"瑞安：我感觉不对劲，看了这个文件（<file_other>）。
 塞巴斯蒂安：乌克兰... 这个俄罗斯的闹剧永远不会结束...
 瑞安：希望各国领导人能对这种情况做出反应。
 塞巴斯蒂安：我也希望如此...","Ryan: I have a bad feeling about this
 Ryan: <file_other>
 Sebastian: Ukraine...
 Sebastian: This russian circus will never end...
 Ryan: I hope the leaders of of nations will react somehow to this shit.
 Sebastian: I hope so too :(",15.38,0,15.38,64.85,2.486685514,3.850098133,3.937732935,2.963274956,5.052632
