sample_index,model_name,generated_summary_zh,reference_summary_zh,reference_summary_en,dialogue
0,qwen3.5:9b,这段对话发生在 Max 和 Payton 之间，主要围绕购物习惯展开。Max 询问是否有推荐的网购服装网站，Payton 表示有很多选择，但通常只从两三家购买。随后两人聊到是否喜欢购物：Payton 享受浏览、试穿和在镜子前欣赏自己的过程，但不一定每次都买；她解释如果买下所有喜欢的东西就没钱生活了（幽默表达）。Max 也认同自己也有类似情况，只是类别不同。最后 Payton 透露自己最难以抗拒的两样是衣服和书——尤其是书籍，她表示几乎会读任何能找到的书。,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)"
1,qwen3.5:9b,"奥利：好了，凯莉！轮到你了！  
凯莉：我？我不想。  
米奇：拜托啦！  
杰西卡：对啊！你的是哪里？  

凯莉：好吧……是芬兰的一个雕塑花园。  
奥利：雕塑有什么可怕的？等等，它们像吸血鬼之类的吗？  
米奇：不会吧，我觉得肯定很漂亮。  

凯莉：问题不在雕塑本身，而在它们的数量和表情！  
杰西卡：什么表情？  
凯莉：这些雕塑描绘了人们在拥抱、训练、运动等不同活动中的姿态，但每张脸都显得阴森恐怖，而且数量多达上百个，全都盯着你看！  

奥利：又一个？  
米奇：当然有！  
杰西卡：好了，轮到你了，奥利。  

奥利：日本的能登村（Nagoro）！  
米奇：为什么选那里？  
奥利：也许不算特别吓人，但和凯莉的地方类似——非常诡异。想象一个有人居住的村庄，里面却摆满了与真人等大的雕像；而且这些雕像的数量比实际居民还多！  

凯莉：太可怕了啊啊啊！  
米奇：这到底是怎么回事？人们怎么会这么做？  
杰西卡：我不知道……我才不在乎……我绝对不去那里。  

奥利：看吧！我的才是“最糟”的！  
杰西卡：不过还不是最吓人的那个！  
奥利：你赢了，承认了吧～  

米奇：各位聊得很开心，但我得走了。  
凯莉：我也是，再见啦！  
杰西卡：拜拜！  
奥利：再会！",凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ","Ollie: Okay, Kelly! Ur up nxt!
Kelly: Me? I don't wanna.
Mickey: C'mon!
Jessica: Yeah! What's yours?
Kelly: Fine. It's a sculpture garden in Finnland.
Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
Mickey: Nah, I'm sure they look rly nice.
Kelly: It's not the sculptures, it's the amount of them and their faces!
Jessica: Faces? What faces?
Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
Ollie: Another one?
Mickey: Certainly!
Jessica: Well, Ollie, ur turn!
Ollie: Nagoro village in Japan!
Mickey: Y?
Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
Jessica: Bt y?
Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
Kelly: Creepy AH!
Mickey: WTF?! Y would ppl even do that?
Jessica: Idk. Idc. Never. Going. There.
Ollie: See! Mine was the worst!
Jessica: Bt not the scariest!
Ollie: Point taken.
Mickey: Listen, guys, fun talking to u, bt gotta go. 
Kelly: Yeah, me too. Bye!
Jessica: Bye!
Ollie: Cu!"
2,qwen3.5:9b,"埃里克：嘿，贝拉，今天老板办公室里发生了什么？他生气了吗？  
贝拉：完全没有！他不仅没生气，反而非常欣赏我们果断拒绝客户请求的决定。  

埃里克：真的吗？他还这么认可这个决定？  
贝拉：是的，他的反应让我也很惊讶……毕竟那些是潜在客户啊。  

埃里克：那他为什么会这样想呢？不过话说回来，你得到了老板的肯定 XD 恭喜！  
贝拉：哈哈，真是“塞翁失马”XD",贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,"Eric: Hey Bella, What happened today in boss's room?? Was he angry??
Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
Eric: REALLY!! He appreciated this decision..
Bella: Yeah he really did.. I too was astounded by his reaction...
Eric: What could possibly lead to this?? I mean , they were potential clients...
Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo	
Bella: hahaha Blessing in disguise xD"
3,qwen3.5:9b,"玛丽说：“嘿，我手头有点紧，能借我几个盒子吗？”卡特回答：“好的，给我一小时，我在火车站。”玛丽回应：“太好了，谢谢！”  

（注：原文中""box""可能是笔误或语境缺失，若指“钱”应为""dough/bucks""等；此处按字面译为“盒子”，但结合上下文更可能意为“钱”。如需调整可说明。）",玛丽的钱用完了，卡特打算一小时后借给她一点。,Mary ran out of money. Carter is going to lend her some in an hour.,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks"
4,qwen3.5:9b,"杰克：稍后喝鸡尾酒吗？  
梅：太棒了！  
梅：你懂我的心思……  
杰克：今天是不是有点紧绷？  
梅：唉，毫无疑问。  
杰克：我就知道。  
梅：来一杯酒会好点！  
杰克：也许两杯吧！",杰克和梅一会儿要喝鸡尾酒。,Jack and May will drink cocktails later.,"Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!"
5,qwen3.5:9b,"约瑟夫：有点模糊，但你应该能认出这是什么(^_-)-☆  
[发送了照片]  

艾拉：哇哦！是小牛犊吗？(/◕ヮ◕)/(/◕ヮ◕)/(/◕ヮ◕)/  

约瑟夫：这是 Wujek Janek 家的“青春期”小牛:D  

艾拉：是双胞胎*亲爱的 xD  
约瑟夫：哦对，抱歉说是双胞胎*  

艾拉：他真棒！太酷了❤️❤️  
我想摸摸它们❤️❤️❤️",约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,"Joseph: It's fuzzy but I think you can recognize what's that(^_-)-☆
Joseph: <file_photo>
Ella: Ooooo
Ella: Baby cows??(/◕ヮ◕)/(/◕ヮ◕)/(/◕ヮ◕)/
Joseph: Wujek Janek has tween cows:D
Ella: Twins* darling xD
Joseph: Oh yeah, sorry Twins*
Ella: Good for him!! So cool❤️❤️
Ella: Wanna touch them❤️❤️❤️"
6,qwen3.5:9b,"洛拉：嘿，亲爱的，最近怎么样？  
阿黛尔：嗨，洛拉！没什么特别的。我新养了一只小狗——四个月大的比斯科特猎犬幼崽，很可爱、有点胖乎乎的。  

洛拉：又一只了？  
阿黛尔：对呀。其他动物反应如何？  
洛拉：它们怎么回应这只小家伙的？  
阿德儿：猫们保持距离；波皮和露露像妈妈一样照顾它；斯皮迪想跟它玩。  
洛拉：没打架吗？这倒是新鲜事。  
阿黛尔：他们说幼犬更容易被其他动物接纳，尤其是母狗——可能因为公狗更爱斗殴吧（笑）。之前收养的成年狗我不得不让它们断奶隔离，而女孩们确实喜欢“疯打”。  

洛拉：哈哈，没错！  
阿黛儿：是啊。对了，它叫“骨头”，名字挺贴切它的体型呢～  
洛拉：真可爱！迫不及待想见见啦！",之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.","Lola: hey girlfriend, what's up?
Adele: Oh, hi Lols, not much.
Adele: got a new dog.
Lola: another one?
Adele: Yup. a pup biscuit lab. 4 months. Chewy.
Lola: how did the others react?
Adele: the cats keep their distance, Poppy and Lulu seem to mother him. Speedy wants to play.
Lola: no fighting? that's new.
Adele: they say puppies are accepted by other animals more easily than older dogs
Lola: especially girl dogs, probably
Adele: with the other ones I had to wean them because I took them in as adult dogs. And girls like to fight. like crazy.
Lola: doggies, right/.
Adele: that too :P
Lola: haha. true though.
Adele: I know, right. Anyway, called him Bones. He's so plump it kinda fit.
Lola: cute. can't wait to see him."
7,qwen3.5:9b,"劳拉：明天我们去哪里？  
琳达：也许那家意大利餐厅？  
劳拉：嗯，可以。  
琳达：我超爱他们的意面！还有布朗尼～😊  
劳拉：我以为你不吃甜食呢。  
琳达：这家店的布朗并不太甜哦。",琳达和劳拉明天要去一家意大利餐馆。,Linda and Laura are going to an Italian restaurant tomorrow.,"Laura: where will we go tommorow?
Linda: maybe this italian restaurant?
Laura: hmm ok
Linda: i love their pasta
Linda: and brownie :)
Laura: i thouht you dont eat sweets
Linda: this brownie is not so sweet"
8,qwen3.5:9b,"米娅：亲爱的，今晚下班后我可以出去吗？  
埃利奥特：当然可以，去吧 ;)  
米娅：谢谢亲爱的。我们要去“闺蜜夜”，喝点饮料、放松一下。  
埃利奥特：别太晚回来哦；如果需要我来接你，随时打电话给我就好。",米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,"Mia is going out after work tonight with her female friends. If she wants, Elliot will come and pick her up.","Mia: babe, do you mind if i go out after work tonight?
Elliot: yeah, sure. go for it ;) 
Mia: thanks, babe. it's gonna be girls night out 
Elliot: what're u up to?
Mia: well, you know we gonna grab some drinks have some nice time outside of work
Elliot: don't be too late please and if you need me to pick u up just give me a ring "
9,qwen3.5:9b,瑞安对局势感到不安，并附上了相关文件。塞巴斯蒂安指出事件与乌克兰有关，认为俄罗斯的这场闹剧永远不会结束。两人均希望各国领导人能对此做出反应，但语气中流露出担忧和无奈。,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,Ryan and Sebastian are worried about the political situation in Ukraine.,"Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :("
