example_id,mode,truncated,informativeness,clarity,plausibility,faithfulness,model_name
0,source_grounded,False,2.782179355621338,3.1655924320220947,3.6374599933624268,3.170931577682495,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
1,source_grounded,False,1.2625646591186523,4.237750053405762,4.387088775634766,2.593000888824463,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
2,source_grounded,False,2.7144274711608887,3.2872416973114014,3.3654439449310303,2.545741081237793,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
3,source_grounded,False,3.322364091873169,4.623607635498047,4.693160057067871,4.288039207458496,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
4,source_grounded,False,1.3556737899780273,2.2998404502868652,2.153730869293213,1.4787652492523193,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
5,source_grounded,False,3.6846494674682617,4.688859939575195,4.83864688873291,4.839158058166504,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
6,source_grounded,False,3.2970688343048096,3.04437255859375,3.5384981632232666,3.181971788406372,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
7,source_grounded,False,2.073270320892334,2.8582725524902344,2.8633785247802734,2.209657669067383,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
8,source_grounded,False,3.2675440311431885,4.172677516937256,4.18474006652832,3.776502847671509,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
9,source_grounded,False,1.4814305305480957,4.273035049438477,3.9467222690582275,1.9862174987792969,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
10,source_grounded,False,2.726076602935791,3.87870192527771,4.169811248779297,3.773244619369507,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
11,source_grounded,False,2.8662800788879395,4.146781921386719,4.041984558105469,2.503079891204834,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
12,source_grounded,False,3.123049259185791,4.067075252532959,4.088306427001953,3.55739688873291,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
13,source_grounded,False,2.7900633811950684,4.763585090637207,4.566149711608887,3.12811541557312,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
14,source_grounded,False,2.3385744094848633,4.103478908538818,3.940204381942749,2.707733631134033,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
15,source_grounded,False,1.4519613981246948,2.405750274658203,2.2132835388183594,1.518676996231079,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
16,source_grounded,False,1.9893817901611328,2.6155786514282227,2.494250535964966,1.9618372917175293,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
17,source_grounded,False,3.3634843826293945,3.0420963764190674,3.4080214500427246,3.0028655529022217,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
18,source_grounded,False,2.975368022918701,3.3580617904663086,3.8743648529052734,3.5169103145599365,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
19,source_grounded,False,2.5534720420837402,4.946052551269531,4.9450178146362305,4.846244812011719,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
20,source_grounded,False,2.2945454120635986,4.821699142456055,4.8643999099731445,4.6264166831970215,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
21,source_grounded,False,2.2760157585144043,4.951228141784668,4.94249153137207,4.794196128845215,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
22,source_grounded,False,2.1985831260681152,4.954428672790527,4.943972587585449,4.824373245239258,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
23,source_grounded,False,1.9387104511260986,2.4632558822631836,2.508587598800659,1.9841015338897705,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
24,source_grounded,False,1.8061209917068481,3.0974137783050537,2.667104959487915,1.9581363201141357,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
25,source_grounded,False,2.680433750152588,3.8122000694274902,3.8307220935821533,2.905334949493408,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
26,source_grounded,False,2.60444712638855,3.9441938400268555,3.9821512699127197,2.7055864334106445,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
27,source_grounded,False,3.047861099243164,3.219581127166748,3.0361998081207275,2.480778694152832,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
28,source_grounded,False,3.079861879348755,3.405360460281372,3.7649691104888916,3.190762519836426,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
29,source_grounded,False,4.063908576965332,4.138125896453857,4.294858932495117,3.7412447929382324,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
30,source_grounded,False,2.842496395111084,4.7826080322265625,4.7854108810424805,4.472670078277588,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
31,source_grounded,False,3.391972541809082,3.543252944946289,3.7111337184906006,3.0850143432617188,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary
