error_label,Review_Notes
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-CIRC,It reverses the comparison between the number of villagers and the number of dolls/figures.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is formatted as a direct translation of the dialogue rather than as a summary.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ENT;H-ROLE,It summarizes Wujek Janek’s relation and the person who corrected the spelling differently from the dialogue.
H-EVT,It adds an unsupported name-decision process that is not in the dialogue.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
LANG,It is translated in dialogue format rather than summarized.
H-ROLE,"Finn is the one who should call if lost, but the role is shifted as if Zadie would call."
H-EVT,It summarizes a figurative battle expression as actual violent action.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
H-CIRC,It changes the condition from Jacky calling after getting home to calling after work.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-EVT,"It suggests Jenson is unhappy with the place, but the real issue is Alene."
H-ROLE;H-EVT,It mixes up the person too tired to go and the person who agrees to attend the party.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE,"Nora said Miranda is not Tom’s type, but the summary attributes this to Catherine."
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE,"Frank praised the black dress, but the summary attributes it to Raphael."
H-ROLE;H-EVT,It changes who said there was no reason and alters the meaning of the request to keep pasta in the microwave.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
H-EVT,It wrongly summarizes the request not to visit as a request not to call.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-CIRC,It changes Miro speaking only Albanian with his parents into simply speaking only Albanian.
H-ROLE,"It says Chris and Martin need to take it easy this time, but the dialogue indicates Dan and Martin."
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE,"Cindy said the video was viral online, but the summary attributes this to Ellie."
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE,"Susy provided the dental-appointment information, but the summary attributes it to Nathan."
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE;H-CIRC,"Zoey is the one in the tropics, but the summary makes it sound like Thomas is there."
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-EVT,Greg did not recommend 60 minutes of exercise; he said he was already doing it.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-CIRC,It changes Martin buying two bottles yesterday into buying them two days ago.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG;H-EVT,"It translates the dialogue instead of summarizing it, and it also handles the pillow request incorrectly."
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-DISC;H-ROLE,It interprets sarcastic remarks as statements supporting Ed.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
LANG,It is translated in dialogue format rather than summarized.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ENT,It misinterprets function as a technical feature issue rather than an event/gathering.
H-CIRC,It changes the retake timing from next year to next semester.
H-ROLE,"Sean called Tiffany a wasp, but the summary reverses it as if Tiffany said it to Sean."
H-ROLE,"Kate first asked whether to buy fruit, but the summary makes it sound like George asked."
H-ENT;H-CIRC,It changes the Skittles-ad giraffe into a zebra and gives an inaccurate contact timing.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
OMIT,It omits that Sierra also has not received the grant yet.
H-ROLE,"The hangover joke applies to Charles, but the summary makes it sound like it applies to both people."
LANG,It is translated in dialogue format rather than summarized.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-ROLE,It reverses the thesis-advisor relationship and recent-contact information between Joanna and Merve.
LANG,It is translated in dialogue format rather than summarized.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-MOD,It changes something hard to resist into something easy to resist.
H-ENT;H-EVT,The Nagoro village name and the description of the figures’ activities/faces differ from the dialogue.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
H-EVT,It turns a figurative expression into an actual act of killing enemies.
NO-ERROR,The summary is consistent with the dialogue and has no clear error.
