sample_index,model_name,generated_summary_zh
0,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,马克斯会去佩顿的服装店买东西。
1,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,凯莉和米基要去日本纳戈罗村。
2,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,埃里克和贝拉对老板的反应感到惊讶。
3,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,玛丽要卡特借几箱钱。卡特在火车站。
4,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰克和梅今天会喝几杯鸡尾酒。
5,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"约瑟夫给艾拉发了一张小奶牛的照片。艾拉给约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛"
6,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"阿黛尔养了一只小狗,名叫骨头。"
7,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,琳达和劳拉明天要去一家意大利餐厅。
8,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,米娅和埃利奥特今晚要出去。他们要出去喝一杯。埃利奥特会去接米娅。
9,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,瑞安和塞巴斯蒂安对乌克兰感到失望。
10,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,扎迪和芬要去一家叫“象牙城”的购物中心。他们将在2点左右在主入口处见面。
11,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,汤姆和本将在下午2点在椭圆形房间见面。他们将进行一场战斗。
12,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,乔丹要去参加他的同事布拉德的葬礼。布拉德患有肝癌。埃利奥特晚上8点会给乔丹打电话。
13,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,弗洛必须在6号前去理发店。
14,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,大卫和杰基昨天对大多数事情都持了正确的态度。杰基回家后会给大卫打电话。
15,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,艾黛尔没打扫仓鼠笼。皮特放学后打扫了。
16,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,玛雅会在药房给兰多夫买5包耳塞。
17,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,林肯、法蒂玛和詹森去了一个关于艾琳的聚会。法蒂玛认为艾琳可能患有抑郁症。
18,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰夫、莉娅、米科和吉姆要去参加一个乡村派对。
19,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,辛迪和埃拉发生了另一场争执。辛迪现在可以给埃拉打电话。
20,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,肯想让格雷格拿回他的钱。
21,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"西蒙不会说话,因为他五点钟有空。"
22,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,加布和凯特打算在加布家见面喝一杯。
23,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"阿加莎的报告已经准备好了,她正在上经济学课。"
24,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,香农推荐凯恩听听听《30 Seconds to March》。
25,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"安妮讨厌米兰达,因为她昨天给汤姆打了电话。"
26,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,莉莉和一个叫托马斯的罗马尼亚人度过了一个美好的夜晚。
27,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰克为明天晚上7点预订了3张工作场地票。
28,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,丽莎想锻炼一下。彼得有健身俱乐部的会员资格。丽莎建议他多锻炼身体。丽莎建议他多睡觉。
29,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰西卡在市中心的二手店买了一张桌子、六张椅子、一瓶花和一大堆衣服。
30,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,德西里想让卢西安把意大利面放在微波炉里。卢西安还没有做饭。
31,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,艾米丽、凯特和玛尔塔今天五点半要去中央车站x酒吧喝一杯。
32,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"玛丽今天没去上学,所以她呆在家里。"
33,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"克莉丝汀感冒了,她明天不去上学了。她感冒了。安妮会给克莉丝汀一些热感冒药。"
34,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"沙尔多娜要结婚了,但她没有时间亲自送邀请卡。"
35,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,康拉德忘了带钥匙。他会在咖啡店等蒂芙妮和丽贝卡。
36,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,卢迪米拉有一只爬行动物。雅科波稍后会告诉她为什么爬行动物。
37,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,玛丽亚和妮可喜欢克莱尔的裙子。
38,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"布伦达和布兰登昨天在聚会上遇到了米罗。米罗的父亲来自阿尔巴尼亚,在上世纪九十年代初从阿尔巴尼亚移民到美国。米罗的父亲来自海滨阿尔巴尼亚。米罗的父亲来自蒂拉纳。"
39,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,丹、蒂姆、克里斯、汤姆和马丁周六要去参加一个聚会。
40,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"迪玛的笔记本电脑坏了,她明天九点要交翻译。她想借给娜达的笔记本电脑。娜达把笔记本电脑给了她的哥哥。迪玛一小时后会来取笔记本电脑。"
41,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰瑞40分钟后会到珍妮特家。珍妮特的老板有时很烦人。
42,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,简和格雷格对娜塔莉的八卦很感兴趣。娜塔莉怀孕了。她的父亲是迈克。
43,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,黛西想在晚上11点前回家。丽莎还没回家。
44,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"辛迪很伤心,因为发生了一些事,她不想谈论这件事。"
45,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,凯瑟琳和本要去拜访史蒂夫叔叔。本不喜欢这种方式。
46,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,妈妈给史蒂夫安装了一台洗碗机。
47,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"亨利想预定咖啡馆,但是咖啡馆的facebook页面不见了。朱莉娅和她的表妹去了ligly's,但那里的房租太贵了。亨利和朱莉娅去了ligly's。"
48,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,汤姆和卡米拉这周末要去都柏林两天。
49,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰森今天没来。杰森预约了牙医。
50,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,吉尔每天工作40到35个小时。
51,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"詹姆斯和艾米莉亚明天要去埃文斯教授的画展。米娅会和他们一起去,因为她不认识艾米莉亚。"
52,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"史蒂芬研讨会的下一节稿子在打印店没有。亚瑟也去了,但稿子没有。丽塔明天早上会问是否有稿子。"
53,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,罗德尼、特鲁曼和罗斯对在校园里被殴打和抢劫的人感到震惊。
54,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"朱迪的女朋友在那里纹身,她花了1000 美元。"
55,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,佐伊和托马斯在热带天气。他们周日在贝尔琴山上散步。
56,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,下一次asEEEs会议将在旧金山召开。
57,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,罗伯、格雷格、安娜和威尔要开始每天锻炼30分钟。
58,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,沃克会带着他的xbox游戏机。
59,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,马利奥今天在卢森堡的每一个机场都降落了。
60,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,马特和约翰今天要练习。
61,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,马丁会给亚历克斯买两瓶牛奶。
62,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,布莱尔和恰克将在诺娜丽塔家见面。布莱尔和恰克将在诺娜丽塔家见面。
63,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,路易斯和科尔的室友在同一个房间。
64,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"雅各布没有看切尔西的比赛,梅森整个下午都在忙着。达米安和雅各布认为哈德斯菲尔德是个好主意。"
65,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,玛琳半小时后要去城里。巴里在凯撒店。他想给丽塔买个礼物。玛琳想买39美元的。
66,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"布鲁克建议吉尔去看望她,因为昨天发生了什么事。"
67,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,凯特和雷吉娜对他们的报告很满意。
68,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰克想买一个托特。
69,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,乔丹收到了卡斯的生日卡和钱。卡斯特别挑选了托马斯的坦克发动机。乔丹11岁了。卡斯喜欢托马斯。
70,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,杰西卡和米基去过意大利的帕勒莫。帕勒莫有8千具尸首。杰西卡和奥利都很喜欢这个地方。
71,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,西蒙给查理发了一张关于欧盟政策的视频。
72,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,爱德、瓦莱丽、克里斯、洛尔、杰西卡和马特都认为性爱是罪恶的。
73,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,迈克在伦敦。
74,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,里奇、克莱和荷西喜欢他的投篮。
75,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"亚历克给亚历克发了一个链接,链接无效。亚历克和亚历克喜欢这个链接。亚历克认为亚历克最优秀的女孩。亚历克认为亚历克最优秀的女孩之一。亚历克认为亚历克最优秀的女孩之一。"
76,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"詹姆斯不看比赛,他要去上班。"
77,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,齐格勒明天会把护照带来。
78,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,威廉正在做意大利面。他会给奥利维亚和贝丝买些新鲜的西红柿和巧克力。
79,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,蒂娜正在寻找帕特里克。蒂娜和黛米正在组织研讨会。
80,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,埃文和伊森讨论了这次活动。埃文会设法让伊森来。
81,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,巴特的经济学期末考得不好。阿德里安认为巴特没有学习得好。巴特开始玩《星球大战》游戏。阿德里安建议巴特不要在学校的时候玩游戏。
82,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,肖恩的灵性动物是一只海龟。
83,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,凯特和乔治明天要去杂货店给学校买些水果。
84,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"朱莉娅和罗纳德周末过得很开心。朱莉娅的父母在争吵,朱莉娅不想再和他们一起吃饭了。罗纳德回来后会给朱莉娅打电话。"
85,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"马修得了感冒,需要丽莎的帮助。"
86,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"斯蒂芬诺和乔西在讨论福考特的《小摆子》。斯蒂芬诺喜欢福考特的小摆子。乔西读了萨尔曼·拉希迪的《小摆子》,萨尔曼·拉希迪在80年代评论了小摆子。"
87,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,正在下雨。瓦尔和坎迪半小时后见面。
88,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"托马斯没有拿到补助金。塞拉没有,杰里米也没有。托马斯的银行账户上没问题。塞拉会借给托马斯一些钱。"
89,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"查尔斯和卡米拉这周末要去拜访伯明翰和曼彻斯特的德国市场。卡米拉喜欢香肠和啤酒。查尔斯和卡米拉去年在圣诞节做了香肠,但没人喝了。卡米拉宿醉了。"
90,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,拉斯塞尔给戴安娜和戴安娜买了一个礼物。
91,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"简想让英斯利帮她写论文。英斯利感冒了,每隔两秒就喷嚏。"
92,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"菲奥娜和康拉德在一起。康拉德是菲奥娜的学生。菲奥娜和康拉德在一起的时间太长了。菲奥娜想和康拉德在一起,但康拉德比她年轻5岁。"
93,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"玛格丽特、伊万斯和玛格丽特将在12月4日和11日10点或11点左右见面。如果玛格丽特不在,他们会在14日10点见面。"
94,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,路易斯给阿奇发了一张梅兰妮的照片。
95,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,琳达错过了去阿姆斯特丹的火车。
96,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"卢旺多娃得了麻疹住院了,她必须接受疫苗接种。乔安娜的论文导师是卢旺多娃,她从上学期起就没见过她。乔安娜将在18号工作前去接种她。"
97,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"卡尔还在等梅格,梅格的钥匙丢了。"
98,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,玛丽亚厌倦了她的工作。
99,jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,"卢克今天开始冲浪了。他明天下午2点22分去那里。埃里克认为在潮汐中的时候最好,因为那里有岩石。"
