model_name,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
aya-expanse:8b,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,"麦克斯问派顿是否知道哪里可以买到好衣服。派顿列出了几个网站，但表示通常会从两个或三个网站购买，因为每个网站都有不同的商品。麦克斯表示会查看这些网站。

派顿坦言对购物既喜欢又不喜欢。她喜欢浏览、试穿和看镜子，但并不总是买。麦克斯好奇为什么，派顿开玩笑说如果她买了所有喜欢的东西，就没什么可生活了。

派顿通常会购买衣服和书籍。她热爱阅读，喜欢读各种各样的书。",34.72,12.68,26.39,72.35
aya-expanse:8b,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,奥利、凯利、米奇和杰西卡在聊天，分享他们认为最可怕或最令人印象深刻的地方。凯利提到芬兰的一个雕塑花园，那里有大量看起来有些诡异的雕塑人像。奥利则介绍了日本纳戈尔村，描述它与凯利的经历相似，但更加令人不安，因为村庄里的人比雕塑还多。讨论中充满了幽默和惊恐的元素，最终米奇表示要结束聊天，大家互道再见。,24.0,3.25,16.0,66.78
aya-expanse:8b,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,埃里克问贝拉今天老板房间里发生了什么，老板是否生气。贝拉回答说老板并没有生气，反而对他们拒绝客户请求的决定表示赞赏。埃里克惊讶地发现原来如此。贝拉解释说，老板希望吸引竞争对手的潜在客户。埃里克祝贺贝拉得到老板的认可。,36.59,0.0,21.95,70.33
aya-expanse:8b,玛丽的钱用完了，卡特打算一小时后借给她一点。,"玛丽：嘿，我有点缺钱，能借我几百元吗？
卡特：好的，给我一个小时，我在火车站。
玛丽：行，谢谢！",20.83,4.35,16.67,68.02
aya-expanse:8b,杰克和梅一会儿要喝鸡尾酒。,杰克提议后来喝鸡尾酒，梅激动地回应“是！”她表示自己确实很紧张。杰克猜测了，梅叹了口气，承认确实有点紧张。她认为喝点酒会好一些，杰克建议可能要两杯。,19.23,4.0,11.54,64.97
aya-expanse:8b,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,约瑟夫发了一张模糊的照片，上面是两头小牛。艾拉看了之后兴奋地猜测是小牛，并表达了想要触摸它们的愿望。约瑟夫确认照片中的牛是他的表兄扬的牛，并纠正了艾拉的“双胞胎”为“一对”。艾拉对拥有两头牛感到高兴，并表达了对它们的好奇心。,22.47,9.2,17.98,69.87
aya-expanse:8b,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,阿黛尔告诉洛拉她养了一只新的狗，是一只4个月大的小黄狗，名叫骨头（Bones）。其他宠物对新成员反应平静，猫保持距离，而波皮和露露似乎像母亲一样照顾它。斯皮迪想和他一起玩耍。阿黛尔提到幼犬通常比成年狗更容易被其他动物接受。洛拉开玩笑说女狗喜欢打架，但阿黛尔也同意这一点。他们决定给新狗取名骨头，因为它很胖。洛拉期待着见到这只可爱的狗。,36.84,16.0,28.95,73.42
aya-expanse:8b,琳达和劳拉明天要去一家意大利餐馆。,劳拉问明天去哪里，林达建议意大利餐厅。劳拉同意了。林达说她喜欢那里的面条和布朗尼，尽管她平时不吃甜食。,25.64,0.0,15.38,71.65
aya-expanse:8b,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,"米亚：亲爱的，我今晚下班后可以出去吗？
埃利奥特：当然可以，去吧！😊
米亚：谢谢你，亲爱的。我们要度过一个女孩子们的外出夜晚。
埃利奥特：你们在做什么呢？
米亚：好吧，我们会去喝点饮料，享受一下工作之外的时光。
埃利奥特：请不要太晚回家，如果需要我来接你，就给我打电话。",15.69,4.0,11.76,65.31
aya-expanse:8b,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,"瑞安：我感觉不对劲，看了这个文件（<file_other>）。
塞巴斯蒂安：乌克兰... 这个俄罗斯的闹剧永远不会结束...
瑞安：希望各国领导人能对这种情况做出反应。
塞巴斯蒂安：我也希望如此...",15.38,0.0,15.38,64.85
