model_name,sample_index,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,0,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,马克斯会去佩顿的服装店买东西。,18.18,0.0,13.64,71.03
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,1,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,凯莉和米基要去日本纳戈罗村。,9.52,0.0,9.52,60.94
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,2,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,埃里克和贝拉对老板的反应感到惊讶。,31.25,0.0,18.75,71.09
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,3,玛丽的钱用完了，卡特打算一小时后借给她一点。,玛丽要卡特借几箱钱。卡特在火车站。,32.0,8.7,32.0,71.71
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,4,杰克和梅一会儿要喝鸡尾酒。,杰克和梅今天会喝几杯鸡尾酒。,66.67,30.77,66.67,88.28
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,5,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,"约瑟夫给艾拉发了一张小奶牛的照片。艾拉给约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛的照片,约瑟夫发了一张小奶牛",20.56,15.24,18.69,73.06
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,6,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,"阿黛尔养了一只小狗,名叫骨头。",18.52,7.69,14.81,70.56
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,7,琳达和劳拉明天要去一家意大利餐馆。,琳达和劳拉明天要去一家意大利餐厅。,88.89,87.5,88.89,99.46
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,8,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,米娅和埃利奥特今晚要出去。他们要出去喝一杯。埃利奥特会去接米娅。,38.89,5.88,33.33,74.53
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,9,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,瑞安和塞巴斯蒂安对乌克兰感到失望。,57.14,33.33,57.14,85.38
